Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13748,12285611,JE132027,01/12/2021 12:00:00 AM,014XX N LUNA AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,2532,25,37.0,25,06,1139071.0,1909100.0,2021,02/06/2021 03:49:12 PM,41.906687282,-87.76457756100002,"(41.906687282, -87.764577561)"
4123,12261015,JE102134,01/02/2021 03:00:00 PM,014XX S MILLARD AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,1011,10,24.0,29,08B,1152276.0,1892771.0,2021,01/16/2021 03:49:23 PM,41.861628294,-87.716500973,"(41.861628294, -87.716500973)"
12912,12281524,JE126867,01/27/2021 01:00:00 PM,028XX S AVERS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1031,10,22.0,30,06,1151168.0,1884915.0,2021,02/03/2021 03:58:22 PM,41.84009224,-87.72077398799999,"(41.84009224, -87.720773988)"
33564,12314623,JE167590,03/12/2021 08:55:00 PM,044XX N BROADWAY,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1913,19,46.0,3,06,1168469.0,1929861.0,2021,03/19/2021 04:51:13 PM,41.963070794000004,-87.655984213,"(41.963070794, -87.655984213)"
27899,12307893,JE159919,02/16/2021 01:00:00 PM,093XX S SOUTH CHICAGO AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,424,4,10.0,48,11,1198069.0,1843689.0,2021,03/09/2021 03:52:09 PM,41.725919003,-87.550047586,"(41.725919003, -87.550047586)"
3767,12262312,JE104167,01/05/2021 03:36:00 PM,076XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,621,6,17.0,71,08B,1171962.0,1854130.0,2021,01/16/2021 03:49:23 PM,41.755182608,-87.645372826,"(41.755182608, -87.645372826)"
32415,12312296,JE164997,03/10/2021 02:39:00 PM,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42.0,32,08B,1176904.0,1901295.0,2021,03/17/2021 04:51:25 PM,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
30330,12308882,JE161358,03/06/2021 09:47:00 PM,064XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,723,7,20.0,68,08B,1173144.0,1862203.0,2021,03/13/2021 03:51:08 PM,41.777309867,-87.640802922,"(41.777309867, -87.640802922)"
13375,12281832,JE126587,01/28/2021 06:00:00 PM,005XX N ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),False,False,1121,11,27.0,23,14,1152953.0,1903403.0,2021,02/04/2021 03:52:02 PM,41.890790265999996,-87.713734067,"(41.890790266, -87.713734067)"
44292,12335134,JE193284,04/01/2021 02:01:00 PM,006XX E 50TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,223,2,4.0,38,06,1181211.0,1871998.0,2021,04/10/2021 05:02:10 PM,41.804006154,-87.610927869,"(41.804006154, -87.610927869)"
20916,12293431,JE142182,02/15/2021 10:26:00 AM,081XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,631,6,6.0,44,14,1180661.0,1851052.0,2021,02/22/2021 03:49:17 PM,41.746540926,-87.61358790700001,"(41.746540926, -87.613587907)"
27179,12306314,JE158331,03/01/2021 03:00:00 PM,028XX S DR MARTIN LUTHER KING JR DR,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",APARTMENT,False,False,133,1,4.0,35,11,1179375.0,1886199.0,2021,03/08/2021 03:55:51 PM,41.843016958,-87.61722727,"(41.843016958, -87.61722727)"
9905,12278434,JE123220,01/21/2021 12:00:00 AM,086XX W BRYN MAWR AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1614,16,41.0,76,06,1117807.0,1936055.0,2021,01/28/2021 03:49:05 PM,41.981015746,-87.842123304,"(41.981015746, -87.842123304)"
7337,12271254,JE114858,01/16/2021 06:00:00 PM,020XX W ARTHUR AVE,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",OTHER (SPECIFY),False,False,2412,24,50.0,2,08A,1161344.0,1943147.0,2021,01/23/2021 03:54:52 PM,41.999679670999996,-87.681808677,"(41.999679671, -87.681808677)"
49009,12341219,JE200160,04/12/2021 11:00:00 AM,079XX S THROOP ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,612,6,21.0,71,11,1169042.0,1852001.0,2021,04/19/2021 05:20:48 PM,41.749403922,-87.65613525,"(41.749403922, -87.65613525)"
560,12267136,JE109908,01/09/2021 11:23:00 AM,030XX N CLARK ST,0860,THEFT,RETAIL THEFT,TAVERN / LIQUOR STORE,False,False,1934,19,44.0,6,06,1170688.0,1920297.0,2021,01/16/2021 03:52:53 PM,41.936778413,-87.648106932,"(41.936778413, -87.648106932)"
22681,12301144,JE152116,02/03/2021 06:00:00 PM,048XX S PULASKI RD,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",COMMERCIAL / BUSINESS OFFICE,False,False,821,8,14.0,57,11,1150513.0,1872252.0,2021,02/27/2021 03:44:15 PM,41.80535602,-87.723507405,"(41.80535602, -87.723507405)"
47615,12336256,JE194802,04/09/2021 04:30:00 PM,031XX N LARAMIE AVE,0460,BATTERY,SIMPLE,BARBERSHOP,False,False,2514,25,30.0,19,08B,1141156.0,1920282.0,2021,04/16/2021 05:26:56 PM,41.93733369,-87.75664216700001,"(41.93733369, -87.756642167)"
14270,12281164,JE126439,01/29/2021 10:44:00 AM,104XX S EBERHART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,512,5,9.0,49,08B,1181425.0,1835823.0,2021,02/05/2021 03:47:46 PM,41.704733131,-87.61125653799999,"(41.704733131, -87.611256538)"
36820,12318878,JE173360,03/19/2021 11:00:00 AM,006XX W MONROE ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,121,1,42.0,28,06,1172247.0,1899816.0,2021,03/26/2021 05:00:56 PM,41.88054314,-87.642983249,"(41.88054314, -87.642983249)"
629,12258871,JE100492,01/01/2021 02:00:00 AM,043XX S INDIANA AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,215,2,3.0,38,08B,1178326.0,1876203.0,2021,01/16/2021 03:49:23 PM,41.815611093,-87.621380801,"(41.815611093, -87.621380801)"
